article_id,article_header,coder,ldi,relevant,start_date,end_date,date_precision,site_name,site_location,site_type,initiator,group_at_site,damage_type
07-2023-364,Russian attack on Odessa damages 25 architectural monuments in Ukraine,Marvin Nathan,2025-10-05 15:38:35,Yes,07/23/2023,07/23/2023,,Transfiguration Cathedral,Odessa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,"Ukrainian Civilians, one dead, 22 wounded","Shelling (artillery fire, bullet)"
07-2023-488,Deadly Russian Missile Strikes Hit Cathedral and Apartment Buildings in Odesa,Marvin Nathan,2025-10-05 15:40:44,Yes,07/23/2023,07/23/2023,,Transfiguration Cathedral,Odessa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Civilians,Airstrike
06-2023-61,,Marvin Nathan,2025-10-05 15:43:42,Yes,,,Attacks occurred recently,Khaneko Museum,Khaneko,Museum,Russian Forces,Not specified,"Shelling (artillery fire, bullet)"
07-2023-7,Russia Strikes Port City Of Odesa - Ukraine,Marvin Nathan,2025-10-05 15:43:55,No,,,Attacks occurred recently,,,Museum,,,"Shelling (artillery fire, bullet)"
10-2022-29,Russia-Ukraine war has destroyed more than 200 Ukrainian cultural heritage assets,Marvin Nathan,2025-10-05 15:44:41,No,,,Attacks occurred recently,,,Museum,,,"Shelling (artillery fire, bullet)"
01-2024-98,Russians destroy Roman Shukhevych Museum in Lviv,Marvin Nathan,2025-10-05 15:45:40,No,,,Attacks occurred recently,Roman Shukevych Museum,Liviv,Museum,Russian Forces,not specified ,UNKNOWN
01-2024-98,Russians destroy Roman Shukhevych Museum in Lviv,Marvin Nathan,2025-10-05 15:45:54,Yes,,,Attacks occurred recently,Roman Shukevych Museum,Liviv,Museum,Russian Forces,not specified,UNKNOWN
10-2022-20,RUSSIA PILLAGES CULTURE IN 'WAR CRIME',Marvin Nathan,2025-10-05 15:48:27,Yes,,,Attack occurred recently,Museum of Local History ,Melitopol,Museum,Russian Forces,Museum employees,Looting/stealing
06-2024-21,EXPLOSIVE WEAPONS POSE THREATS TO CULTURAL HERITAGE: STATES HAVE A TOOL TO PROTECT IT,Marvin Nathan,2025-10-05 15:49:15,No,,,,,,Museum,,,Looting/stealing
08-2024-52,RUSSIA'S EFFORTS TO ERASE UKRAINIAN IDENTITY AND CULTURE WILL FAIL: UK STATEMENT TO THE OSCE,Marvin Nathan,2025-10-05 15:50:56,Yes,,,May 2024,Kherson Regional Museum,Kherson,Museum,Russian Forces,not specified,Looting/stealing
05-2022-191,,Marvin Nathan,2025-10-05 15:53:24,No,,,,,,Museum,,,Looting/stealing
07-2023-719,UK says it's concerned that Russia may target civilian ships in Black Sea,Marvin Nathan,2025-10-05 15:55:08,Yes,,,Attacks occurred close to when article was published,Odesa City Center,Odesa,Other,Russian Forces,Ukrainian Civilians,Airstrike
12-2023-39,Ukrainian resistance,Marvin Nathan,2025-10-05 15:55:51,No,,,,,,Other,,,Airstrike
03-2022-1,Ukrainian cultural heritage faces destruction,Comfort Folakemi Oshagbemi,2025-10-07 13:09:49,No,,,,,,UNKNOWN,,,UNKNOWN
10-2022-69,,Comfort Folakemi Oshagbemi,2025-10-07 13:10:30,No,,,,,,UNKNOWN,,,UNKNOWN
07-2023-364,,Comfort Folakemi Oshagbemi,2025-10-07 13:14:07,Yes,,,,Odessa region,Odessa,Monument,Russian terrorists,Four minors,"Shelling (artillery fire, bullet)"
07-2023-488,,Comfort Folakemi Oshagbemi,2025-10-07 13:17:56,Yes,,,Overnight on Sunday,"Orthodox Cathedral, 25 landmarks",Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,"22 others, including four children","Shelling (artillery fire, bullet)"
07-2023-364,,Comfort Folakemi Oshagbemi,2025-10-07 13:18:28,Yes,,,Overnight on Sunday,Odesa region,Odesa,Monument,Russian terrorists,Four minors,"Shelling (artillery fire, bullet)"
06-2023-61,The Louvre museum in Paris received Ukrainian works to protect them from the war,Comfort Folakemi Oshagbemi,2025-10-07 13:19:32,No,,,Overnight on Sunday,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,"Shelling (artillery fire, bullet)"
07-2023-7,,Comfort Folakemi Oshagbemi,2025-10-07 13:22:38,Yes,July 23,July 23,Sunday night,"Transfiguration Cathedral, 25 Architectural monuments","Odesa, Ukraine","Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Troops,"22 people, including four children. ",Fire
10-2022-29,,Comfort Folakemi Oshagbemi,2025-10-07 13:25:43,Yes,,,,,Ukraine,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,UNKNOWN
07-2023-7,,Comfort Folakemi Oshagbemi,2025-10-07 13:26:18,Yes,06/23/23,06/23/23,,"Transfiguration Cathedral, 25 Architectural monuments","Odesa, Ukraine","Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Troops,"22 people, including four children.",Fire
